date,IP,UM1,UF1,UM12,UF12
1960-07-01,-0.34758332510112,0.612354065292839,0.878811731134689,0.857347047367769,0.977850845487826
1960-08-01,-0.116277059135195,0.61964704108663,0.894466680462683,0.859052836867134,0.980363077422596
1960-09-01,-1.05208823428575,0.626675815447143,0.911588364083629,0.864132310469234,0.984487324912395
1960-10-01,-0.117644371420456,0.637554762808948,0.887307136888212,0.87027223385478,0.979950451820845
1960-11-01,-1.42163945273133,0.666127696161878,0.880094529529969,0.87898559934415,0.978907432116666
1960-12-01,-1.92785310473624,0.682442761619734,0.876904841014543,0.888149463195249,0.977693773898773
1961-01-01,0.121649160703585,0.671455061715459,0.886994296905596,0.891666083551428,0.978892020653228
1961-02-01,-0.121649160703585,0.666005391142414,0.870396408994123,0.894060892026512,0.97406880257261
1961-03-01,0.606312872196968,0.666967615677281,0.852128508304712,0.892577356022907,0.96940121370074
1961-04-01,2.0348862610478,0.671076406359693,0.833400033970549,0.887394682339363,0.965184528591436
1961-05-01,1.52842566467419,0.653499414167378,0.827102251274159,0.882148864001988,0.96380469070876
1961-06-01,1.39077847620488,0.63912540280309,0.826480800510232,0.878295100526887,0.964065937853253
1961-07-01,1.14386910140323,0.626026518499361,0.80809173200393,0.874906678306539,0.960615461001601
1961-08-01,0.90604906752243,0.6209276857393,0.807479920802985,0.872997653307098,0.960416739267171
1961-09-01,-0.112439117131791,0.620783765683072,0.81570091774896,0.868448447800276,0.96242175059098
1961-10-01,1.90023329224358,0.619734048625729,0.817364450657137,0.863546652768935,0.963675389984835
1961-11-01,1.53844572990915,0.609654067195716,0.829741765407967,0.857416876034725,0.96639341446422
1961-12-01,0.868665190000018,0.598705036566896,0.838256015031656,0.853536573624721,0.969172141887859
1962-01-01,-0.868665190000018,0.605256317704171,0.856330472003734,0.853329794462441,0.974810981751337
1962-02-01,1.6225502579621,0.603470089110832,0.881456886086327,0.851869664809902,0.981321872903906
1962-03-01,0.535308250101174,0.590576888748034,0.932357193536797,0.847621409240005,0.993240984329701
1962-04-01,0.212935890496535,0.591069192985907,1.00715811223149,0.844395841759005,1.01013615836713
1962-05-01,-0.106613371431097,0.589386705813476,1.06331997309335,0.842797582670901,1.02222374360194
1962-06-01,-0.213163271947892,0.584355278526165,1.06419313517799,0.840165698518364,1.02371881020412
1962-07-01,0.956639562991457,0.573700994464381,1.0343895665882,0.834803434647451,1.01737494380772
1962-08-01,0.105784004401333,0.562464151785626,1.00901690778893,0.829211251230294,1.0106361446702
1962-09-01,0.63256392067359,0.558038813574263,1.01351059140666,0.824426755801523,1.00993286810346
1962-10-01,0.105046019533228,0.555604548035208,1.0005004371394,0.819990565136999,1.00637149446563
1962-11-01,0.418687896376513,0.555345982321897,1.01516200369575,0.814614853246852,1.007428777388
1962-12-01,0,0.552972108224206,0.949000851787786,0.80936210006033,0.99139144665721
1963-01-01,0.728728299419723,0.551985297077487,0.906507280138412,0.805230229397416,0.979654817425495
1963-02-01,1.13482752194844,0.543018306868326,0.843320101563808,0.800593127005141,0.964665408556307
1963-03-01,0.613418110445396,0.53348439914484,0.795711882202807,0.79823614626095,0.952079920663013
1963-04-01,0.913301410625378,0.539514038821233,0.765306967781359,0.799799271952272,0.942572698488098
1963-05-01,1.20467607511725,0.537291207952214,0.739556179063028,0.799147324740365,0.933856456630594
1963-06-01,0.29912252181088,0.534656586419332,0.719477246920888,0.798691701446213,0.92727739575613
1963-07-01,-0.399029191782763,0.532936227749062,0.701483738557292,0.799139882187998,0.92190039408123
1963-08-01,0.199713626129183,0.534270237516644,0.695666829188286,0.801002728014027,0.919062972675986
1963-09-01,0.991842769289564,0.533851578157254,0.678356256270955,0.800795171610954,0.912994128768673
1963-10-01,0.68895474485906,0.531074328148018,0.659851625100523,0.79989452347667,0.906501365287143
1963-11-01,0.488903516484562,0.537473146622379,0.647021159533665,0.800821741580337,0.901007767713375
1963-12-01,-0.195422916818622,0.547510403822059,0.629270371912749,0.800449517281114,0.895022953816391
1964-01-01,0.875970370025581,0.554665645855273,0.620146862902318,0.799928575369508,0.890954918842214
1964-02-01,0.675983784884471,0.548256512374554,0.612553593738671,0.79733312375902,0.887862461104612
1964-03-01,0,0.539134040331226,0.608821270110166,0.795384655271926,0.88602204246869
1964-04-01,1.62303149567844,0.544955792266885,0.602809486272364,0.795969244642155,0.884088502268142
1964-05-01,0.566535618334374,0.52945723174995,0.59538175874408,0.795393674087849,0.881938810040212
1964-06-01,0.282211129642018,0.526589128509044,0.593861328582068,0.799041599993747,0.881368000866365
1964-07-01,0.655105293966773,0.53387868900134,0.600364676182543,0.806091216886994,0.883420781381627
1964-08-01,0.650841581163997,0.550252400747467,0.607899526297566,0.813716307034042,0.885709357371529
1964-09-01,0.369851378152397,0.580409718698378,0.614917166961778,0.824378071414119,0.888182774270715
1964-10-01,-1.39470081838962,0.628175066842486,0.617738574168272,0.83677668552837,0.889684359841521
1964-11-01,3.04322267145412,0.641523243498288,0.629093913897133,0.843434960372,0.893505447597482
1964-12-01,1.17373826667952,0.607397497773755,0.647736703662356,0.831967352754061,0.899296215651916
1965-01-01,1.07130050639754,0.580507190638767,0.674988536765132,0.822234535046177,0.907135573051105
1965-02-01,0.620061891315293,0.561040329848485,0.677878499713752,0.815743493199358,0.908696381634153
1965-03-01,1.31520829457017,0.551572702624496,0.690289115561752,0.811761742105622,0.912780842319091
1965-04-01,0.434509982238174,0.547527472610092,0.718427669793329,0.808504114532919,0.920322647334513
1965-05-01,0.777587473670316,0.540890469996255,0.750192994828997,0.80621515852435,0.928698157358437
